lot,n,tipologie
http://w3id.org/zac/81913_lot_7,14,ARMI | BRONZI; FERRI; OGGETTI VARI IN METALLO | MAIOLICHE | MOBILI | LAMPADE | OGGETTI VARI | PENDOLE; OROLOGI | OROLOGI | Porcellane; Maioliche | Porcellane; maioliche | SCATOLE; TABACCHIERE | STAMPE E INCISIONI | PORCELLANE; MAIOLICHE | VASI | SCATOLE | SCULTURE
http://w3id.org/zac/87363_lot_5,14,BRONZI | Bronce; Messingwaaren | MOBILI | Kriegs- und Jagd-Waffen; Jagdgerathschaften | Kostumstucke; Kostume; Stickereien | MAIOLICHE | Fayence; glasirte Thonwaaren | OGGETTI IN ORO | OGGETTI IN FERRO | OGGETTI IN RAME | OGGETTI IN LATTA | OGGETTI IN LEGNO | TESSUTI | VETRI
http://w3id.org/zac/87421_lot_3,14,BISCOTTI | MEDAGLIE | FOTOGRAFIE | MAIOLICHE | MOBILI | MINIATURE | OGGETTI IN LEGNO | OGGETTI VARI | OGGETTI IN ORO | OGGETTI IN METALLO | OROLOGI | VETRI | TERRECOTTE | PORCELLANE
http://w3id.org/zac/87763_lot_4,14,Altertumer; Kunstgegenstande | DIPINTI | Gobelets; Canettes; Gourdes; Becher; Kannen; Schrauben | MEDAGLIE | Munzen; Medaillen | MINIATURE | MUNZEN; MEDAILLEN | OGGETTI IN RAME | OGGETTI IN ORO | OGGETTI IN LEGNO | Tableaux; Peintures; Gravures | PIATTI | plats; assiettes; Platten; Teller | PLACCHETTE | SCATOLE
http://w3id.org/zac/88058_lot_12,14,BESTECKE; WAFFEN; BUCHER; EINBANDE | CORNICI | LAMPADE | MOBEL; SPIEGEL; STANDUHREN | MINIATUREN; OLBILDER; STICHE | MINIATURE | DOSEN; TASCHENUHREN; FACHER | FAYENCE; MAJOLIKA; STEINGUT; GLAS | MINIATUREN; BILDER; STICHE | OGGETTI IN ORO | OGGETTI VARI | OGGETTI IN CERA | OGGETTI IN LEGNO | SILBER; EMAIL; DOSEN; TASCHENUHREN; FACHER
http://w3id.org/zac/88058_lot_17,14,CORNICI | BESTECKE; WAFFEN; BUCHER; EINBANDE | MOBEL; SPIEGEL; STANDUHREN | MINIATUREN; OLBILDER; STICHE | DOSEN; TASCHENUHREN; FACHER | FAYENCE; MAJOLIKA; STEINGUT; GLAS | OGGETTI IN CERA | OGGETTI VARI | OGGETTI IN LATTA | OGGETTI IN RAME | SCATOLE | SPECCHI | SILBER; EMAIL; DOSEN; TASCHENUHREN; FACHER | VASI
http://w3id.org/zac/88058_lot_7,14,BESTECKE; WAFFEN; BUCHER; EINBANDE | CORNICI | CANDELABRI | LAMPADE | MOBEL; SPIEGEL; STANDUHREN | FAYENCE; MAJOLIKA; STEINGUT; GLAS | DOSEN; TASCHENUHREN; FACHER | MINIATUREN; BILDER; STICHE | OGGETTI IN LATTA | OGGETTI IN CERA | OGGETTI IN RAME | OGGETTI VARI | SILBER; EMAIL; DOSEN; TASCHENUHREN; FACHER | STAMPE E INCISIONI
http://w3id.org/zac/88058_lot_9,14,BESTECKE; WAFFEN; BUCHER; EINBANDE | CORNICI | MOBEL; SPIEGEL; STANDUHREN | DOSEN; TASCHENUHREN; FACHER | LAMPADE | MINIATUREN; OLBILDER; STICHE | MINIATUREN; BILDER; STICHE | FAYENCE; MAJOLIKA; STEINGUT; GLAS | FOTOGRAFIE | OGGETTI IN CERA | OGGETTI IN RAME | SILBER; EMAIL; DOSEN; TASCHENUHREN; FACHER | SCATOLE | STAMPE E INCISIONI
http://w3id.org/zac/88067_lot_3,14,BRONZI | ARREDAMENTI | CERAMICHE | Mobel; Einrichtungsgenstande | Gemalde; Kupferstiche | MINIATURE | Fayence; Majoliken | OGGETTI IN ORO | VETRI | PIATTI | SCATOLE | PORCELLANE | Steinzeug; Hafnerware | VASI
http://w3id.org/zac/88096_lot_2,14,CERAMICHE | BRONZI | DIPINTI | ARMI | Edelmetall; Schmuck | Medaillen; Plaketten | Mobel; Holzarbeiten | MOBEL; HOLZARBEITEN | OGGETTI IN LEGNO | OROLOGI | OGGETTI D'ARTE | Zinn; Blei | SMALTI | PIATTI | Stickereien; Spitzen
http://w3id.org/zac/81772_lot_3,13,BASSORILIEVI | 31 Marzo 1908 | 4 Aprile 1908 | 30 Marzo 1908 | 3 aprile | 10 Aprile | 1. aprile | 9 aprile | 8 Aprile | 7 Aprile 1908 | 6 aprile | VASI | POLTRONE
http://w3id.org/zac/81799_lot_3,13,ARGENTI | BANDIERE | BRONZI | LIBRI | MONETE | MAIOLICHE | MARMI | MOBILI | OGGETTI IN ORO | OGGETTI VARI | OGGETTI IN LEGNO | TESSUTI | REPERTI ARCHEOLOGICI
